number,title,country
52815,DF LINK TELECOM COMERCIO E SERVIÇOS DE COMUNICAÇÃO,BR
52814,L. M. NETWORKS LTDA - ME,BR
22678,OSDE,AR
22679,INTEGRATED-TEL - Inovar,US
22676,TELENTIA - Telentia,US
22677,-Reserved AS-,ZZ
22674,"SOUTHERNWINE - Southern Wine & Spirits of America, Inc.",US
22675,"MASTERBRAND-CABINETS - MASTERBRAND CABINETS, INC.",US
22672,WARPLINE-HOSTING - Prisma Networks LLC,US
22673,TURBINE - Turbine Inc.,US
22670,-Reserved AS-,ZZ
22671,AAAS - American Association for the Advancement of Science,US
60902,AIH,FR
60903,TYRNAVA-AS,FI
60900,RRS-AS,RU
60901,BFF-MEDIA,RO
60906,NETOPIA-AS Ion Mihalache Nr 92,RO
60907,MIRDARA-AS 1 Decembrie Nr 112a,RO
26568,JADE - Jade Communications LLC,US
26569,COLLEGENET - CollegeNET,US
26566,-Reserved AS-,ZZ
26567,"AS-LMGC-TOR-01 - Loyalty Management Group, Inc.",CA
26564,NEW-CANAAN - Town of New Canaan,US
26565,MDFDOR-ASN - City of Medford,US
26562,SPHERION-ASN - Spherion Corporation,US
26563,"MASSIX-MLPE-AS - TowardEX Technologies International, Inc.",US
26560,JUNIATA - Juniata College,US
26561,-Reserved AS-,ZZ
27378,GARDEREWYNNESEWELL - Gardere Wynne Sewell LLP,US
8292,CAMDATA,DE
27379,SELECT-STAFFING - Select Staffing,US
5525,DU-AS2,AE
4928,VAIS - Virginia Internet Services,US
8294,,HU
134730,EDMICLOUD-AS-AP EDMI NZ Limited,NZ
65268,-Private Use AS-,ZZ
48919,UA-CITY-AS,UA
134731,PLESIPTYLTD-AS-AP Plesi Pty Ltd,AU
65264,-Private Use AS-,ZZ
65265,-Private Use AS-,ZZ
65266,-Private Use AS-,ZZ
48918,GLOBALWAYS,DE
65260,-Private Use AS-,ZZ
134732,DOTINTERNET-AS-AP Dot Internet,BD
65262,-Private Use AS-,ZZ
46132,"VENTYX-AN-ABB-COMPANY - Ventyx USA, Inc.",US
393,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
392,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
391,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
134733,CENTRALWEST-AS-AP CENTRALWEST NETWORKS PTY LTD,AU
397,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
396,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
395,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
394,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
134734,VELOCITYNETWORKS-AS-AP Velocity Networks Limited,BD
399,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
398,AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US
203530,RACKONE,IT
203533,ASTAMBOVBEKON,RU
48913,BUDGETELECOM-AS,FR
134737,APPLECT-LEARNING-SYSTEMS-AS-AP Applect Learning Systems Pvt. Ltd.,IN
2616,DNIC-ASBLK-02616-02620 - Navy Network Information Center (NNIC),US
32224,EMPIRE - Empire Southwest,US
264903,Dois Vizinhos Tecnologia,BR
32226,"MENARD-INC - Menard, Inc.",US
32227,MWLLP-AS - McGuireWoods LLP,US
32220,ASN-BELD - Braintree Electric Light Dept.,US
32221,BARONSERVICES - Baron Services,US
32222,ACCESSLINE-COM-2000 - AccessLine Communications Corp.,US
264902,Clesat Comunicação e Manutenção em Eletro.LDTA ME,BR
47331,TTNET,TR
32228,ASISN - ISN Communications,US
32229,JSUMS-ARIN - Jackson State University,US
54300,LIGHTSPEED-VOICE - Lightspeed Voice,US
264900,RJNET Telecomunicacoes Ltda ME,BR
7215,"AHNET-AS - Affinity Internet, Inc",US
963,GONET-ASN-17 - GONET,CA
3748,ETRI-AS-KR Electronics and Telecommunications Research Institute,KR
3749,TECNET - Tennessee Board Of Regents,US
3746,IPAC-WORLD - Internet Public Access Corporation,US
264907,E-Consulters Web Assessoria Empresarial LTDA - ME,BR
3744,"CAN-NET - Consolidated Access & Networks, Inc.",CA
3745,DELL-SERVICES-FTC - Dell Systems Corporation,US
3742,SEMAPHORE-1 - Semaphore Corporation,US
3743,ARCEL-2 - ARCELORMITTAL USA INC.,US
3740,CHICAGO-REN - University of Chicago,US
264906,REUBEN PLANET EIRELI - ME,BR
5528,ANADANA-AS,LV
41062,PRO100-NET-AS,UA
41063,INFOGUARD-AS InfoGuard AB,SE
55088,AI-ASN - Adviser Investments LLC,US
57661,DEIL-AS,RU
57660,COM4-AS,NO
57663,EVERHOST-AS-INFRA,RO
57662,PB-SZ-AS,RU
57665,EVIO-PL,PL
393280,CALLFIRE0 - Callfire Inc.,US
57667,UPTIME-IT-01,DE
